P(boon,|"'a) = 100%	
P(his|did) = 2%	
P(barbarous|did) = 1%	
P(to|did) = 1%	
P(that|did) = 1%	
P(so,|did) = 2%	
P(submit,|did) = 1%	
P(gain|did) = 1%	
P(they|did) = 1%	
P(nothing|did) = 2%	
P(such|did) = 1%	
P(him|did) = 1%	
P(he|did) = 3%	
P(great|did) = 3%	
P(charlot|did) = 1%	
P(so|did) = 3%	
P(she|did) = 1%	
P(opinion|did) = 1%	
P(the|did) = 3%	
P("desirest|did!") = 100%	
P(and|did,) = 20%	
P(with|did,) = 20%	
P(however,|did,) = 20%	
P(from|did,) = 20%	
P(but|did,) = 20%	
P(the|did.) = 50%	
P(but|did.) = 50%	
P(and|did;) = 100%	
P(aforetime|didst) = 100%	
P(for|die) = 27%	
P(of|die) = 9%	
P(here,|die) = 9%	
P(as|die) = 9%	
P(sword|die) = 9%	
P(in|die) = 18%	
P(gloriously|die) = 9%	
P(or|die) = 9%	
P(in|die,) = 50%	
P(if|die,) = 50%	
P(speak|die,") = 100%	
P(anxious|die.) = 100%	
P(a.h.|died) = 2%	
P(almost|died) = 2%	
P(three|died) = 2%	
P(as|died) = 2%	
P(at|died) = 2%	
P(in|died) = 37%	
P(out|died) = 2%	
P(there.|died) = 2%	
P(from|died) = 4%	
P(for|died) = 2%	
P(suddenly.|died) = 2%	
P(two|died) = 2%	
P(too|died) = 2%	
P(after|died) = 2%	
P(during|died) = 6%	
P(on|died) = 14%	
P(about|died) = 2%	
P(of|died) = 2%	
P(without|died) = 4%	
P(the|died) = 2%	
P(out,|died) = 2%	
P(out.|died) = 2%	
P(and|died,) = 75%	
P(this|died,) = 13%	
P(the|died,) = 13%	
P(his|died.) = 100%	
P(soon|dies) = 20%	
P(at|dies) = 40%	
P(in|dies) = 40%	
P((date|dies.) = 100%	
P(a|diest) = 100%	
P(of|diet) = 50%	
P(is|diet) = 17%	
P(convoked|diet) = 17%	
P(was|diet) = 17%	
P(and|diet,) = 100%	
P(the|diet.) = 100%	
P(from|differ) = 100%	
P(already|differ.) = 100%	
P(afterward,|differed.) = 100%	
P(also|difference) = 25%	
P(between|difference) = 25%	
P(in|difference) = 25%	
P(among|difference) = 25%	
P(of|differences) = 60%	
P(were|differences) = 20%	
P(such|differences) = 20%	
P(however|differences,) = 100%	
P(the|differences.) = 100%	
P(places.|different) = 3%	
P(competitors,|different) = 3%	
P(powerful|different) = 3%	
P(woods|different) = 3%	
P(times,|different) = 3%	
P(in|different) = 3%	
P(meaning.|different) = 3%	
P(times|different) = 3%	
P(from|different) = 3%	
P(nationalities,|different) = 3%	
P(parts|different) = 3%	
P(sentiments|different) = 3%	
P(lot|different) = 3%	
P(manners.|different) = 3%	
P(local|different) = 3%	
P(terms|different) = 3%	
P(virtues|different) = 3%	
P(chiefs|different) = 3%	
P(circumstances,|different) = 3%	
P(hands|different) = 3%	
P(scale.|different) = 3%	
P(courts,|different) = 3%	
P(counties|different) = 3%	
P(provinces,|different) = 3%	
P(occasions|different) = 3%	
P(kingdoms|different) = 3%	
P(nations|different) = 3%	
P(barbaric|different) = 3%	
P(way.|different) = 3%	
P(vision|different) = 3%	
P(politically,|different,) = 100%	
P(when|different;) = 100%	
P(viewpoints|differing) = 50%	
P(in|differing) = 50%	
P(and|difficult) = 9%	
P(for|difficult) = 9%	
P(would|difficult) = 9%	
P(question|difficult) = 9%	
P(to|difficult) = 45%	
P(not|difficult) = 18%	
P(of|difficulties) = 50%	
P(the|difficulties) = 50%	
P(to|difficulty) = 20%	
P(that|difficulty) = 20%	
P(recover|difficulty) = 20%	
P(in|difficulty) = 40%	
P(pursued|difficulty,) = 50%	
P(while|difficulty,) = 50%	
P(the|difficulty.) = 100%	
P(but|difficulty;) = 100%	
P(a|diffuse) = 100%	
P(throughout|diffused) = 100%	
P(but|dig,) = 100%	
P(wells|digging) = 100%	
P(in|digit) = 100%	
P(corresponding|digits) = 100%	
P(to|dignified) = 50%	
P(mahmud|dignified) = 50%	
P(of|dignitaries) = 100%	
P(throughout|dignities) = 50%	
P(by|dignities) = 50%	
P(the|dignities,) = 100%	
P(and|dignity) = 43%	
P(of|dignity) = 43%	
P(under|dignity) = 14%	
P(and|dignity") = 100%	
P(amid|dignity,) = 20%	
P(while|dignity,) = 20%	
P(undermined,|dignity,) = 20%	
P(was|dignity,) = 20%	
P(he|dignity,) = 20%	
P(and|dignity,") = 100%	
P(his|dignity.) = 25%	
P(benedict,|dignity.) = 25%	
P(but|dignity.) = 25%	
P(it|dignity.) = 25%	
P(saxon|dilapidated) = 100%	
P(in|diligence) = 100%	
P(and|diligence,) = 100%	
P(to|diligent) = 100%	
P(by|diminished) = 50%	
P(that|diminished) = 50%	
P(but|diminished,) = 100%	
P(of|diminution) = 100%	
P(to|dimly) = 50%	
P(the|dimly) = 50%	
P(when|dimunarvag,) = 100%	
P(and|dinner) = 100%	
P(treated|dinner,) = 100%	
P(in.|dinted) = 100%	
P(of|diocese) = 50%	
P(at|diocese) = 50%	
P(was|dioceses) = 100%	
P(and|dioceses,) = 100%	
P(bishop|dionysius,) = 100%	
P(in|dipped) = 100%	
P(their|dipping) = 100%	
P(two|dir,) = 100%	
P(disaster,|dire) = 50%	
P(defeat|dire) = 50%	
P(control|direct) = 8%	
P(all|direct) = 8%	
P(from|direct) = 17%	
P(fealty.|direct) = 8%	
P(government|direct) = 8%	
P(legislation|direct) = 8%	
P(to|direct) = 8%	
P(connection|direct) = 8%	
P(tie|direct) = 8%	
P(the|direct) = 8%	
P(changes|direct) = 8%	
P(indirect,|direct,) = 100%	
P(they|direct.) = 100%	
P(not|directed) = 8%	
P(to|directed) = 31%	
P(the|directed) = 15%	
P(his|directed) = 31%	
P(against|directed) = 15%	
P(editor|directing) = 100%	
P(of|direction) = 50%	
P(free.|direction) = 25%	
P(to|direction) = 25%	
P(these|direction.) = 25%	
P(alfonso,|direction.) = 25%	
P(the|direction.) = 25%	
P(he|direction.) = 25%	
P(were|directions) = 100%	
P(commenced|directions,) = 50%	
P(in|directions,) = 50%	
P(he|directions:) = 100%	
P(calculated|directly) = 17%	
P(in|directly) = 17%	
P(due|directly) = 17%	
P(under|directly) = 17%	
P(following|directly) = 17%	
P(or|directly) = 17%	
P(rather|directly,) = 100%	
P(of|director) = 100%	
P(based|directories) = 100%	
P(path.|directory) = 100%	
P(straits,|direst) = 100%	
P(and|dirks,) = 100%	
P(water,|dirty) = 100%	
P(them|disabuse) = 100%	
P(of|disadvantage) = 100%	
P(but|disadvantage,) = 100%	
P(barons.|disaffected) = 33%	
P(troops|disaffected) = 33%	
P(folk,|disaffected) = 33%	
P(had|disaffection) = 100%	
P(in|disagreement) = 100%	
P(of|disappearance) = 100%	
P(with|disappeared) = 25%	
P(as|disappeared) = 25%	
P(from|disappeared) = 25%	
P(under|disappeared) = 25%	
P(since|disappeared,) = 33%	
P(so|disappeared,) = 33%	
P(in|disappeared,) = 33%	
P(as|disappeared.) = 100%	
P(into|disappears) = 100%	
P(of|disappointed) = 50%	
P(by|disappointed) = 50%	
P(at|disappointment) = 100%	
P(first,|disapprobation,) = 50%	
P(which|disapprobation,) = 50%	
P(of|disapproval) = 100%	
P(of|disapproved) = 100%	
P(as|disaster) = 33%	
P(was|disaster) = 33%	
P(filled|disaster) = 33%	
P(was|disaster,) = 100%	
P(roused|disasters) = 33%	
P(of|disasters) = 33%	
P(the|disasters) = 33%	
P(the|disasters.) = 100%	
P(famine|disastrous) = 33%	
P(odds.|disastrous) = 33%	
P(ones|disastrous) = 33%	
P(with|disavow) = 100%	
P(his|disbanded) = 100%	
P(alfred|disbanded.) = 100%	
P(of|disbanding) = 100%	
P(and|disbandments) = 100%	
P(in|discerned) = 100%	
P(and|discernment) = 50%	
P(of|discernment) = 50%	
P(the|discharge) = 50%	
P(his|discharge) = 50%	
P(many|discharged) = 25%	
P(the|discharged) = 25%	
P(from|discharged) = 25%	
P(out|discharged) = 25%	
P(his|discharges) = 100%	
P(is|discincti_) = 100%	
P(of|disciple) = 75%	
P(thebas,|disciple) = 25%	
P(of|disciples) = 40%	
P(was|disciples) = 20%	
P(to|disciples) = 40%	
P("these|disciples,) = 100%	
P(necessary|discipline) = 17%	
P(had|discipline) = 17%	
P(to|discipline) = 17%	
P(of|discipline) = 50%	
P(and|discipline,) = 50%	
P(toward|discipline,) = 50%	
P(their|discipline.) = 50%	
P(other|discipline.) = 50%	
P(if|discipline.") = 100%	
P(and|disciplined) = 20%	
P(military|disciplined) = 20%	
P(of|disciplined) = 20%	
P(by|disciplined) = 20%	
P(manoeuvres|disciplined) = 20%	
P(at|disciplining) = 100%	
P(all|disclaim) = 100%	
P(all|disclaimed) = 100%	
P(of|disclaimer) = 33%	
P(or|disclaimer) = 67%	
P(of|disclaimers) = 100%	
P(swedes.|discomfited) = 50%	
P(much|discomfited) = 50%	
P(the|disconcerted) = 100%	
P(discouraged,|disconcerted,) = 50%	
P(but,|disconcerted,) = 50%	
P(or|discontent,) = 100%	
P(population.|discontented) = 100%	
P(the|discontented.) = 100%	
P(all|discontinue) = 100%	
P(and|discord) = 100%	
P(render|discords) = 100%	
P(and|discouraged) = 25%	
P(that|discouraged) = 25%	
P(at|discouraged) = 25%	
P(by|discouraged) = 25%	
P(and|discouraged,) = 100%	
P(was|discouragement) = 100%	
P(is|discourse) = 100%	
P(_in|discourse,) = 100%	
P(a|discourse.) = 100%	
P(who,|discourse;) = 100%	
P(were|discourses) = 100%	
P(a|discover) = 50%	
P(america.|discover) = 50%	
P(and|discovered) = 10%	
P(that|discovered) = 20%	
P(gunnviorns-skerries.|discovered) = 10%	
P(collection|discovered) = 10%	
P(at|discovered) = 10%	
P(in|discovered) = 10%	
P(the|discovered) = 20%	
P(by|discovered) = 10%	
P(the|discovered.) = 50%	
P(he|discovered.) = 50%	
P(he|discoverer.) = 100%	
P(in|discoveries) = 100%	
P(any|discovering) = 100%	
P(america,"|discovers) = 40%	
P(america_.]|discovers) = 20%	
P(america|discovers) = 40%	
P(of|discovery) = 67%	
P(southward.|discovery) = 33%	
P(leif,|discovery.) = 50%	
P(but|discovery.) = 50%	
P(the|discovery;) = 100%	
P(by|discredited) = 100%	
P(energetic,|discreet,) = 100%	
P(and|discretion) = 100%	
P(and|discretion,) = 50%	
P(is|discretion,) = 50%	
P(even|discrimination.) = 100%	
P(the|discuss) = 100%	
P(at|discussed) = 50%	
P(_seriatim_,|discussed) = 50%	
P(of|discussion) = 100%	
P(being|discussion;) = 100%	
P(to|disdain) = 50%	
P(is|disdain) = 50%	
P(to|disdained) = 100%	
P(known|disease) = 100%	
P(without|disease,) = 50%	
P(before|disease,) = 50%	
P(which|diseases) = 100%	
P(innocent|disembarkation.) = 50%	
P(he|disembarkation.) = 50%	
P(at|disembarked) = 100%	
P(the|disentangle) = 50%	
P(himself|disentangle) = 50%	
P(the|disfavor) = 100%	
P(and|disfigurement,) = 100%	
P(throughout|disgrace) = 50%	
P(by|disgrace) = 50%	
P(rendered|disgrace,) = 100%	
P(the|disgraced) = 100%	
P(yoke,|disgraceful) = 50%	
P(than|disgraceful) = 50%	
P(of|disguise) = 50%	
P(was|disguise) = 50%	
P(with|disguise,) = 100%	
P(as|disguised) = 100%	
P(of|disgust) = 100%	
P(with|disgusted) = 50%	
P(by|disgusted) = 50%	
P(but|disgusting;) = 100%	
P(by|disheartened) = 100%	
P(were|dishes) = 100%	
P(incurred|dishonor) = 100%	
P(either|dishonor,) = 100%	
P(means|dishonorable) = 100%	
P(many|dishonored) = 50%	
P(by|dishonored) = 50%	
P(to|disinclined) = 100%	
P(power|disintegrating) = 100%	
P(from|disinter) = 100%	
P(barons.|disinterested) = 100%	
P(this|disinterestedly.) = 100%	
P(of|disinterestedness) = 50%	
P(with|disinterestedness) = 50%	
P(his|disinters) = 100%	
P(or|disk) = 100%	
P(and|dislike) = 100%	
P(his|dislocated) = 100%	
P(to|disloyalty) = 100%	
P(and|dismay) = 100%	
P(_witan_|dismayed) = 50%	
P(the|dismayed) = 50%	
P(at|dismayed,) = 100%	
P(the|dismayed.) = 100%	
P(and|dismayed;) = 100%	
P(after|dismemberment.) = 100%	
P(the|dismissed) = 33%	
P(him|dismissed) = 67%	
P(and|dismount) = 100%	
P(from|dismounted) = 50%	
P(by|dismounted) = 50%	
P(and|disorder) = 33%	
P(of|disorder) = 50%	
P(with|disorder) = 17%	
P(pursued|disorder,) = 100%	
P(the|disorder.) = 50%	
P(mahmud,|disorder.) = 50%	
P(persons|disorderly) = 50%	
P(rabble,|disorderly) = 50%	
P(and|disorganize) = 100%	
P(all|dispel) = 100%	
P(with|dispense) = 100%	
P(of|dispenser) = 100%	
P(the|disperse) = 33%	
P(temporarily|disperse) = 33%	
P(themselves|disperse) = 33%	
P(and|dispersed) = 33%	
P(by|dispersed) = 67%	
P(of|dispersion) = 100%	
P(and|dispirited) = 100%	
P(but|displace) = 100%	
P(of|display) = 33%	
P(the|display) = 33%	
P(to|display) = 33%	
P(perform,|display,) = 100%	
P(a|displayed) = 13%	
P(therein|displayed) = 13%	
P(unexpected|displayed) = 13%	
P(no|displayed) = 13%	
P(against|displayed) = 13%	
P(to|displayed) = 13%	
P(the|displayed) = 13%	
P(until|displayed) = 13%	
P(performed,|displayed,) = 100%	
P(the|displaying) = 50%	
P(or|displaying) = 50%	
P(performing,|displaying,) = 100%	
P(the|displeased) = 100%	
P(of|dispose) = 67%	
P(his|dispose) = 33%	
P(of|disposed) = 14%	
P(the|disposed) = 14%	
P(for|disposed) = 14%	
P(to|disposed) = 57%	
P(and|disposition) = 20%	
P(of|disposition) = 40%	
P(was|disposition) = 20%	
P(to|disposition) = 20%	
P(and|disposition,) = 100%	
P(even|disposition?") = 100%	
P(for|dispositions) = 100%	
P(these|dispossess) = 50%	
P(them,|dispossess) = 50%	
P(and|dispossessed) = 100%	
P(was|dispossession) = 100%	
P(respecting|dispute) = 13%	
P(to|dispute) = 13%	
P(the|dispute) = 38%	
P(with|dispute) = 13%	
P(between|dispute) = 25%	
P(doctrine|dispute--the) = 100%	
P(succession,|disputed) = 33%	
P(with|disputed) = 33%	
P(succession|disputed) = 33%	
P(and|disputed,) = 100%	
P(with|disputes) = 100%	
P(for|disqualified) = 100%	
P(of|disregard) = 50%	
P(the|disregard) = 50%	
P(all|disregarded) = 50%	
P(since|disregarded) = 50%	
P(not|disregarded,) = 100%	
P(all|disregarding) = 100%	
P(their|disrupt) = 100%	
P(of|disruption) = 75%	
P(into|disruption) = 25%	
P(tendencies|disruptive) = 50%	
P(tendency|disruptive) = 50%	
P(the|disruptive.) = 100%	
P(the|dissatisfaction.) = 100%	
P(by|disseminated) = 100%	
P(and|dissension) = 67%	
P(prevailed.|dissension) = 33%	
P(of|dissensions) = 67%	
P(greatly|dissensions) = 33%	
P(under|dissensions,) = 100%	
P(while|dissensions;) = 100%	
P(by|dissipated) = 100%	
P(by|dissolution.) = 100%	
P(this|dissolve) = 50%	
P(the|dissolve) = 50%	
P(from|dissuaded) = 100%	
P(from|distance) = 25%	
P(of|distance) = 33%	
P(is|distance) = 8%	
P(makes|distance) = 8%	
P(inland,|distance) = 8%	
P(dismayed|distance) = 8%	
P(than|distance) = 8%	
P(however,|distance,) = 33%	
P(the|distance,) = 33%	
P(he|distance,) = 33%	
P(a|distant) = 10%	
P(and|distant) = 30%	
P(provinces|distant) = 10%	
P(governors,|distant) = 10%	
P(when|distant) = 10%	
P(east|distant) = 10%	
P(spain|distant) = 10%	
P(expeditions|distant) = 10%	
P(it|distant.) = 100%	
P(and|distinct) = 25%	
P(from|distinct) = 13%	
P(pledge|distinct) = 13%	
P(nations;|distinct) = 13%	
P(existence,|distinct) = 13%	
P(terms|distinct) = 13%	
P(assurance|distinct) = 13%	
P(of|distinction) = 29%	
P(is|distinction) = 14%	
P(by|distinction) = 14%	
P(between|distinction) = 43%	
P(greek|distinctively) = 50%	
P(frankish|distinctively) = 50%	
P(new|distinctly) = 25%	
P(frankish|distinctly) = 25%	
P(colored|distinctly) = 25%	
P(takes|distinctly) = 25%	
P(through|distinctness) = 100%	
P(for|distinctness;) = 100%	
P(these|distinguish) = 20%	
P(them|distinguish) = 20%	
P(his|distinguish) = 20%	
P(it|distinguish) = 20%	
P(between|distinguish) = 20%	
P(tabataba|distinguished) = 7%	
P(himself|distinguished) = 7%	
P(for|distinguished) = 7%	
P(scholars|distinguished) = 7%	
P(members|distinguished) = 7%	
P(in|distinguished) = 13%	
P(not|distinguished) = 7%	
P(the|distinguished) = 7%	
P(vassals,|distinguished) = 7%	
P(by|distinguished) = 33%	
P(period|distracted) = 50%	
P(northern|distracted) = 50%	
P(and|distractions) = 50%	
P(of|distractions) = 50%	
P(to|distress) = 50%	
P(in|distress) = 50%	
P(and|distress,) = 50%	
P(they|distress,) = 50%	
P("an|distress.) = 100%	
P(chiefly|distressed) = 100%	
P(to|distresses) = 100%	
P(a|distribute) = 17%	
P(this|distribute) = 17%	
P(or|distribute) = 33%	
P(copies|distribute) = 17%	
P(it|distribute) = 17%	
P(even|distributed) = 13%	
P(to|distributed) = 25%	
P(some|distributed) = 13%	
P(project|distributed) = 13%	
P(their|distributed) = 13%	
P(proofreading|distributed) = 13%	
P(in|distributed) = 13%	
P(a|distributing) = 17%	
P(project|distributing) = 33%	
P(this|distributing) = 17%	
P(any|distributing) = 17%	
P(or|distributing) = 17%	
P(performing,|distributing,) = 100%	
P(of|distribution) = 100%	
P(under|distributor) = 100%	
P(of|district) = 56%	
P(plentifully|district) = 11%	
P(had|district) = 11%	
P(walter|district) = 11%	
P(if|district) = 11%	
P(and|district,) = 20%	
P(in|district,) = 20%	
P(was|district,) = 20%	
P(by|district,) = 20%	
P(called|district,) = 20%	
P(sylvester|district.) = 50%	
P(it|district.) = 50%	
P(of|districts) = 25%	
P(farther|districts) = 25%	
P(for|districts) = 25%	
P(or|districts) = 25%	
P(the|districts,) = 33%	
P(where|districts,) = 33%	
P(but|districts,) = 33%	
P(at|districts.) = 100%	
P(of|distrust) = 100%	
P(as|distrust.) = 100%	
P(among|disturbance) = 50%	
P(in|disturbance) = 50%	
P(notwithstanding|disturbance,) = 100%	
P(and|disturbances) = 33%	
P(of|disturbances) = 33%	
P(thus|disturbances) = 33%	
P(in|disturbances,) = 100%	
P(by|disturbed) = 100%	
P(perhaps|disturbing) = 100%	
P(which|disunion,) = 100%	
P(thought|ditcar) = 25%	
P(found|ditcar) = 25%	
P(the|ditcar) = 25%	
P(presented|ditcar) = 25%	
P(happened|ditcar,) = 100%	
P("go|ditcar:) = 100%	
P(and|ditch,) = 33%	
P(which|ditch,) = 33%	
P(leaving|ditch,) = 33%	
P(tahera|ditch.) = 100%	
P(launders,|ditchers,) = 100%	
P(and|ditches) = 100%	
P(in|ditches.) = 100%	
P(a|dive,) = 50%	
P(and|dive,) = 50%	
P(they|dive.) = 100%	
P(existed,|divergence) = 100%	
P(territories|divers) = 25%	
P(ways;|divers) = 25%	
P(incidents|divers) = 25%	
P(peoples|divers) = 25%	
P(of|diversity) = 100%	
P(his|divert) = 100%	
P(the|diverted) = 100%	
P(himself|divested) = 100%	
P(himself|divesting) = 100%	
P(into|divide) = 25%	
P(the|divide) = 75%	
P(and|divided) = 5%	
P(among|divided) = 11%	
P(his|divided) = 11%	
P(on|divided) = 5%	
P(into|divided) = 37%	
P(them;|divided) = 5%	
P(brought|divided) = 5%	
P(between|divided) = 5%	
P(the|divided) = 11%	
P(by|divided) = 5%	
P(since|divided,) = 100%	
P(new|divides) = 100%	
P(large|dividing) = 100%	
P(and|divine) = 11%	
P(grace.|divine) = 5%	
P(persons,|divine) = 5%	
P(liturgy,|divine) = 5%	
P(means|divine) = 5%	
P(ways|divine) = 5%	
P(light|divine) = 5%	
P(worship,|divine) = 5%	
P(service,|divine) = 11%	
P(work.|divine) = 5%	
P(liturgy|divine) = 5%	
P(favor.|divine) = 5%	
P(mysteries,"|divine) = 5%	
P(mission.|divine) = 5%	
P(or|divine) = 5%	
P(mercy|divine) = 11%	
P(unjustly|divine,) = 100%	
P(but|diviners,) = 100%	
P(estates.|divisible) = 100%	
P(of|division) = 69%	
P(as|division) = 6%	
P(was|division) = 6%	
P(into|division) = 13%	
P(took|division) = 6%	
P(still|division,) = 33%	
P(became|division,) = 33%	
P(consisting|division,) = 33%	
P(sunnites,|division--the) = 100%	
P(at|division.) = 100%	
P(of|divisions) = 50%	
P(were|divisions) = 17%	
P(between|divisions) = 17%	
P(advanced,|divisions) = 17%	
P(and|divisions,) = 33%	
P(so|divisions,) = 33%	
P(in|divisions,) = 33%	
P(his|divorced) = 50%	
P(wife|divorced) = 50%	
P(into|dnieper) = 100%	
P(the|dnieper.) = 100%	
P(and|dnieper;) = 100%	
P(what|do) = 2%	
P(indeed|do) = 1%	
P(some|do) = 1%	
P(one|do) = 1%	
P(bring|do) = 2%	
P(daily|do) = 1%	
P(in|do) = 1%	
P(battle|do) = 1%	
P(our|do) = 1%	
P(any|do) = 1%	
P(to|do) = 1%	
P(ye,|do) = 1%	
P(lie|do) = 1%	
P(little|do) = 1%	
P(from|do) = 1%	
P(copyright|do) = 1%	
P(homage|do) = 2%	
P(away|do) = 2%	
P(there|do) = 1%	
P(also|do) = 1%	
P(likewise|do) = 1%	
P(so|do) = 2%	
P(you|do) = 3%	
P(confidently|do) = 1%	
P(we|do) = 1%	
P(his|do) = 2%	
P(little.|do) = 1%	
P(rise|do) = 1%	
P(so,"|do) = 1%	
P(so,|do) = 1%	
P(so.|do) = 1%	
P(not|do) = 30%	
P(with|do) = 10%	
P(service|do) = 1%	
P(i|do) = 2%	
P(ride|do) = 1%	
P(no|do) = 2%	
P(against|do) = 1%	
P(this|do) = 1%	
P(nothing|do) = 1%	
P(the|do) = 1%	
P(strictly|do) = 1%	
P(disperse|do) = 1%	
P(how|do,) = 25%	
P(pursued|do,) = 25%	
P(then,|do,) = 25%	
P(each|do,) = 25%	
P(the|do.) = 100%	
P(the|dobrina,) = 100%	
P(population--these|docile) = 100%	
P(from|doctors) = 100%	
P(questions|doctrinal) = 100%	
P(and|doctrine) = 8%	
P(would|doctrine) = 8%	
P(that|doctrine) = 8%	
P(of|doctrine) = 54%	
P(as|doctrine) = 8%	
P(which|doctrine) = 8%	
P(was|doctrine) = 8%	
P(had|doctrine,) = 25%	
P(since|doctrine,) = 25%	
P(arising|doctrine,) = 25%	
P(he|doctrine,) = 25%	
P(and|doctrine;) = 100%	
P(and|doctrines) = 25%	
P(of|doctrines) = 50%	
P(could|doctrines) = 13%	
P(which|doctrines) = 13%	
P(but|doctrines,) = 100%	
P(as|doctrines,") = 100%	
P(is|document) = 33%	
P(which|document) = 33%	
P(in|document) = 33%	
P(however,|document,) = 100%	
P(which|documents) = 100%	
P(letters|documents,) = 100%	
P(full|does) = 6%	
P(it|does) = 18%	
P(according|does) = 6%	
P(in|does) = 6%	
P(not|does) = 59%	
P(honor|does) = 6%	
P(their|dog-keepers) = 100%	
P(styles|doge) = 25%	
P(of|doge) = 25%	
P(attempts|doge) = 25%	
P(suspending|doge) = 25%	
P(of|dogmas) = 100%	
P(and|dogs) = 50%	
P(or|dogs) = 50%	
P(but|dogs!) = 100%	
P(guns,|dogs,) = 50%	
P(which|dogs,) = 50%	
P(them|doing) = 14%	
P(it|doing) = 14%	
P(their|doing) = 14%	
P(much|doing) = 14%	
P(in|doing) = 14%	
P(the|doing) = 14%	
P(he|doing) = 14%	
P(rumors|doing.) = 100%	
P(adds|doings,) = 100%	
P(should|dol,) = 100%	
P(and|domain) = 11%	
P(ebooks.|domain) = 11%	
P(of|domain) = 11%	
P((does|domain) = 11%	
P(in|domain) = 33%	
P(print|domain) = 11%	
P(works|domain) = 11%	
P(europe|domain.) = 100%	
P(and|domain;) = 100%	
P(of|domains) = 33%	
P(from|domains) = 33%	
P(to|domains) = 33%	
P(and|domains;) = 100%	
P(the|dome) = 100%	
P(which|dome,) = 100%	
P(the|dome.) = 100%	
P(book|domesday) = 50%	
P(book_,|domesday) = 25%	
P(book."|domesday) = 25%	
P(convenience.|domestic) = 33%	
P(commotions,|domestic) = 33%	
P(circle,|domestic) = 33%	
P(and|domestics,) = 100%	
P(races|dominant) = 33%	
P(religion,|dominant) = 33%	
P(one|dominant) = 33%	
P(bodily|dominate) = 100%	
P(all|dominating) = 100%	
P(of|domination) = 100%	
P(_domesday_|domination.) = 100%	
P(pasquel,|domingo) = 100%	
P(on|dominion) = 9%	
P(from|dominion) = 9%	
P(of|dominion) = 18%	
P(over|dominion) = 9%	
P(to|dominion) = 9%	
P(became|dominion) = 9%	
P(which|dominion) = 9%	
P(was|dominion) = 18%	
P(than|dominion) = 9%	
P(was|dominion,) = 50%	
P(take|dominion,) = 50%	
P(and|dominion.) = 33%	
P(from|dominion.) = 33%	
P(he|dominion.) = 33%	
P(among|dominions) = 7%	
P(of|dominions) = 14%	
P(into|dominions) = 7%	
P(after|dominions) = 7%	
P(owned|dominions) = 7%	
P(or|dominions) = 7%	
P(to|dominions) = 7%	
P(at|dominions) = 7%	
P(become|dominions) = 7%	
P(where|dominions) = 7%	
P(by|dominions) = 7%	
P(he|dominions) = 14%	
P(and|dominions,) = 50%	
P(visiting|dominions,) = 17%	
P(but|dominions,) = 17%	
P(coria|dominions,) = 17%	
P(said|dominions,") = 100%	
P(on|dominions.) = 17%	
P(secret|dominions.) = 17%	
P(the|dominions.) = 33%	
P(see|dominions.) = 17%	
P(he|dominions.) = 17%	
P(and|dominions;) = 50%	
P(they|dominions;) = 50%	
P(pars|domus) = 100%	
P(enrique,|don) = 33%	
P(domingo|don) = 33%	
P(alfonso|don) = 33%	
P(royalties|donate) = 100%	
P(please|donate,) = 100%	
P(received|donations) = 8%	
P(from|donations) = 15%	
P(to|donations) = 31%	
P(are|donations) = 15%	
P(in|donations) = 15%	
P(or|donations) = 8%	
P(can|donations) = 8%	
P(to|donations.) = 100%	
P(of|donative) = 100%	
P(so|donative;) = 100%	
P(little|done) = 4%	
P(that|done) = 4%	
P(homage|done) = 4%	
P(something|done) = 4%	
P(no|done) = 4%	
P(perpetually|done) = 4%	
P(him,|done) = 4%	
P(without|done) = 4%	
P(to|done) = 4%	
P(as|done) = 4%	
P(much|done) = 4%	
P(five|done) = 4%	
P(at|done) = 4%	
P(in|done) = 4%	
P(principally|done) = 4%	
P(under|done) = 4%	
P(the|done) = 4%	
P(if|done) = 4%	
P(was|done) = 8%	
P(by|done) = 15%	
P(before|done) = 8%	
P(mount|done!) = 100%	
P(and|done,) = 14%	
P(but|done,) = 14%	
P(or|done,) = 14%	
P(in|done,) = 14%	
P(not|done,) = 14%	
P(ever|done,) = 14%	
P(by|done,) = 14%	
P(the|done.) = 50%	
P(he|done.) = 50%	
P(but|done.") = 100%	
P(urraca,|donna) = 100%	
P(in|donors) = 100%	
P(of|doom) = 100%	
P(kent,|doom.) = 100%	
P(to|doomed) = 60%	
P(him,|doomed) = 20%	
P(horde|doomed) = 20%	
P(but|doomed;) = 100%	
P(and|door) = 50%	
P(facing|door) = 25%	
P(of|door) = 25%	
P(slew|doors,) = 100%	
P(each|doorways,) = 100%	
P(coasts,|dorset) = 100%	
P(had|dorset,) = 20%	
P(wilts,|dorset,) = 20%	
P(from|dorset,) = 20%	
P(are|dorset,) = 20%	
P(was|dorset,) = 20%	
P(resting-place,|dorsetshire) = 100%	
P(doing|dorsetshire,") = 100%	
P(there|dorsetshire.) = 100%	
P(and|dorylaion,) = 100%	
P(thou|dost) = 100%	
P(purpose|doth) = 100%	
P(fury|double) = 17%	
P(ditches|double) = 17%	
P(blockade,|double) = 17%	
P(wall|double) = 17%	
P(ideal|double) = 17%	
P(charge,|double) = 17%	
P(formidable|doubly) = 100%	
P(that,|doubt) = 9%	
P(among|doubt) = 5%	
P(already|doubt) = 5%	
P(that|doubt) = 23%	
